stat08,semel,sa,eligible,voted,valid,disq,n_ballots,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
74000511,7400,511,2528,1349,1326,23,4,63,1,13,3,0,2,1,7,1,98,0,2,1,305,288,359,19,4,0,0,0,1,1,0,0,0,0,0,0,5,1,0,4,147
74000512,7400,512,3166,1524,1495,29,5,72,2,81,9,1,1,0,10,2,36,0,1,0,295,323,398,9,9,2,0,0,1,4,0,0,1,7,6,0,5,0,1,6,213
74000422,7400,422,5588,2504,2427,77,9,105,1,210,7,1,7,5,13,3,31,2,1,5,379,621,686,23,16,2,1,1,3,3,0,4,4,0,8,9,12,0,2,7,255
74000522,7400,522,1794,860,824,36,3,30,0,74,10,0,1,1,6,5,17,1,0,0,140,180,258,3,6,2,0,0,0,1,0,0,2,2,0,1,4,2,0,4,74
74000521,7400,521,2956,1441,1407,34,5,58,1,85,6,4,4,1,8,1,24,1,0,0,242,384,405,15,8,1,0,0,1,7,0,2,3,2,1,2,4,2,1,4,130
74000421,7400,421,2630,1208,1169,39,5,35,0,98,7,2,4,0,5,0,14,2,0,1,199,304,316,9,5,2,0,0,2,2,0,4,1,0,12,0,6,2,1,5,131
74000411,7400,411,2068,1133,1102,31,3,59,0,38,8,1,6,0,4,0,22,2,2,1,259,325,270,7,4,0,1,0,0,2,0,0,0,1,2,1,4,1,2,9,71
74000513,7400,513,3464,1897,1846,51,5,108,1,33,6,0,3,4,7,11,22,0,1,0,428,528,516,16,6,0,0,0,0,4,0,0,1,0,3,1,10,2,1,6,128
74000533,7400,533,7948,5351,5312,39,13,773,0,81,26,0,32,3,23,11,75,0,1,2,1997,464,1449,149,1,1,0,0,0,2,0,0,0,0,5,1,19,1,1,25,170
74000343,7400,343,2641,1684,1664,20,4,86,0,142,109,0,2,0,9,1,142,0,1,1,297,144,378,9,2,0,0,0,0,4,0,1,0,3,0,1,4,0,0,2,326
74000523,7400,523,4473,2759,2724,35,7,222,14,53,8,0,12,4,7,9,45,0,2,3,822,471,762,43,6,0,0,0,0,2,0,0,1,2,7,0,6,0,1,18,204
74000122,7400,122,1205,926,918,8,2,36,0,119,9,0,7,0,1,2,85,0,0,0,174,66,261,6,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,142
74000413,7400,413,1924,1237,1221,16,4,95,0,19,5,0,2,1,6,0,27,0,0,1,405,241,331,28,1,0,0,0,0,5,0,0,0,0,3,2,2,0,2,8,37
5250001,525,1,2237,1272,1261,11,4,350,0,0,0,81,0,3,0,0,1,0,0,0,198,264,238,4,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,117
5780001,578,1,422,283,283,0,1,49,0,1,0,1,16,1,0,0,2,0,0,0,93,3,16,93,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,4,0
5870001,587,1,3065,2081,2062,19,6,391,0,14,6,0,24,10,12,3,18,0,0,2,883,81,402,181,0,0,0,0,0,2,0,1,0,0,0,0,6,1,0,4,21
20460001,2046,1,336,240,239,1,1,67,0,1,1,0,0,0,1,0,2,0,0,0,102,4,42,7,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,1
9420001,942,1,82,50,49,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,4,0,10,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
5260001,526,1,1533,954,944,10,4,14,0,0,0,484,0,130,0,0,5,0,0,0,12,1,1,25,0,0,1,0,227,0,0,1,0,1,1,4,0,1,0,0,36
37560001,3756,1,367,281,281,0,1,0,0,53,4,0,2,0,0,0,178,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,11
12380001,1238,1,163,119,117,2,1,32,0,1,0,0,0,0,0,0,2,0,0,0,44,7,13,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
75000001,7500,1,3094,2522,2511,11,5,3,0,3,2,204,1,949,0,2,0,0,0,0,4,0,8,8,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,2,27
75000006,7500,6,7254,5933,5926,7,11,8,0,4,2,712,1,1594,1,29,0,1,0,0,5,1,6,29,0,0,1,0,3487,1,0,0,0,0,1,2,0,0,2,0,39
75000002,7500,2,4594,3880,3872,8,7,41,0,0,2,521,3,961,1,14,0,2,1,0,6,2,4,2,1,0,0,0,2265,1,0,2,0,0,0,0,2,0,0,0,41
75000003,7500,3,577,428,427,1,1,0,0,0,0,44,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,5
12450001,1245,1,1484,622,605,17,3,24,1,5,0,32,0,48,1,6,0,1,0,2,55,0,33,4,1,0,0,1,365,0,0,1,0,0,0,1,1,2,2,0,19
35670001,3567,1,348,254,254,0,1,38,0,0,0,0,7,1,2,1,4,0,0,0,129,8,56,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
11560001,1156,1,290,180,180,0,1,31,2,2,0,1,12,8,0,1,1,0,0,1,49,3,6,57,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2
4190001,419,1,530,424,424,0,1,20,0,167,1,0,50,0,1,1,32,0,0,1,59,7,71,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
4540001,454,1,381,241,241,0,1,46,0,1,0,0,3,1,0,0,1,0,0,0,66,11,11,96,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2
11760001,1176,1,281,172,170,2,1,26,0,3,0,0,6,1,3,0,8,0,0,1,51,15,31,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9
6100001,610,1,655,495,494,1,2,132,0,7,1,0,5,0,8,0,4,0,0,0,192,29,77,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2
8920001,892,1,367,262,261,1,1,93,0,9,0,0,1,0,0,0,2,0,0,0,19,23,39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73
3760001,376,1,606,461,457,4,2,199,0,1,0,0,5,3,1,0,1,0,0,2,79,9,12,136,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,1
7940001,794,1,250,176,170,6,1,20,0,1,2,0,1,1,0,0,0,0,0,1,34,5,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,33
45010001,4501,1,1193,270,253,17,2,93,0,0,0,3,4,0,0,0,0,0,1,0,15,0,32,8,0,0,0,0,12,0,0,2,0,0,3,0,0,0,0,2,78
11990001,1199,1,1141,898,892,6,2,138,0,5,3,0,7,2,6,3,4,0,0,2,444,68,170,23,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,3,7
20350001,2035,1,284,218,216,2,1,40,0,3,0,0,1,1,2,0,0,0,0,1,94,7,43,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
8260001,826,1,396,247,244,3,1,3,0,30,25,0,0,0,0,0,9,0,0,0,5,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
5280001,528,1,1331,456,448,8,3,3,0,0,0,97,0,90,0,0,0,1,0,0,24,1,4,4,1,1,0,1,204,14,0,0,1,0,0,0,0,0,0,1,1
7370001,737,1,600,466,464,2,2,88,0,4,1,0,11,1,0,2,2,0,0,0,206,24,75,19,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,5,20
6660001,666,1,5706,4178,4162,16,9,930,0,46,4,3,27,33,30,26,50,1,0,3,1496,268,842,328,0,0,0,0,3,0,0,0,0,0,5,0,17,1,0,15,34
8100001,810,1,309,235,230,5,1,44,0,15,0,1,24,4,0,0,3,0,0,0,64,14,43,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6
36170001,3617,1,1480,1241,1227,14,3,1,0,315,4,0,6,0,0,0,525,0,0,2,5,23,307,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,33
320001,32,1,382,256,255,1,1,11,0,1,2,0,0,0,0,0,3,0,0,0,4,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
11490001,1149,1,557,399,399,0,1,56,0,4,1,0,1,0,1,0,4,0,0,0,172,38,91,4,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,5,17
8370001,837,1,435,338,335,3,1,10,0,31,10,0,4,0,2,0,25,0,0,1,28,21,182,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,18
7110001,711,1,570,420,417,3,1,25,0,4,3,0,7,0,1,0,6,0,0,0,62,40,210,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,52
8170001,817,1,721,494,493,1,2,36,0,5,2,0,0,0,1,0,7,0,0,0,98,32,237,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,73
36580001,3658,1,227,200,199,1,1,0,0,40,0,0,0,0,0,0,125,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11750001,1175,1,266,149,148,1,1,36,0,0,0,0,4,0,0,0,5,0,0,0,64,10,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5300001,530,1,3211,2344,2319,25,5,167,0,2,5,522,0,1276,1,10,0,3,0,0,101,9,62,74,0,1,1,0,69,0,0,0,2,0,0,2,4,0,2,0,6
1560001,156,1,65,34,34,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0
