stat95,code,votes
70123,ב,31
70123,ג,41
70123,זנ,8
70123,יש,328
70123,כן,149
70123,ל,420
70123,ם,105
70123,מחל,762
70123,מרצ,28
70123,נץ,12
70123,צף,2
70123,ק,5
70123,שס,446
70123,ו,4
70123,ז,2
70123,ט,3
70123,נ,5
70123,עם,3
70123,קך,4
70123,קנ,8
70123,רק,2
70123,ף,5
70123,צ,2
70123,ד,1
70122,אמת,19
70122,ב,6
70122,ג,5
70122,ו,1
70122,זנ,1
70122,יש,39
70122,כן,15
70122,ל,60
70122,ם,5
70122,מחל,115
70122,מרצ,2
70122,נץ,2
70122,קנ,1
70122,קץ,1
70122,שס,53
70231,אמת,161
70231,ב,143
70231,ג,85
70231,ט,2
70231,יש,414
70231,כן,197
70231,ל,436
70231,ם,88
70231,מחל,1230
70231,מרצ,36
70231,נץ,21
70231,עם,4
70231,קנ,13
70231,רק,6
70231,שס,632
70231,ד,2
70231,ף,5
70231,צף,2
70231,קך,6
70231,זנ,7
70231,פה,7
70231,נ,7
70231,ק,3
70231,קץ,1
70121,אמת,68
70121,ב,36
70121,ג,21
70121,ט,1
70121,יש,134
70121,כן,48
70121,ל,167
70121,ם,26
70121,מחל,423
70121,מרצ,17
70121,צ,4
70121,קנ,6
70121,שס,177
70121,זנ,4
70121,נ,2
70121,נץ,5
70121,עם,2
70121,פה,2
70121,ק,2
70121,קך,2
70121,רק,3
70223,אמת,141
70223,ב,69
70223,ג,64
70223,ז,1
70223,יש,393
70223,כן,91
70223,ל,407
70223,ם,279
70223,מחל,1232
70223,מרצ,51
70223,נ,11
70223,נץ,16
70223,עם,9
70223,קנ,18
70223,שס,617
70223,ד,3
70223,זנ,4
70223,פה,7
70223,קץ,2
70223,ו,4
70223,ף,1
70223,קך,4
70223,רק,3
70223,ט,2
70134,אמת,82
70134,ב,34
70134,ג,957
70134,יש,185
70134,כן,102
70134,ל,228
70134,ם,123
70134,מחל,565
70134,מרצ,24
70134,נץ,23
70134,עם,5
70134,ף,1
70134,פה,4
70134,צף,5
70134,קנ,12
70134,שס,1117
70134,זנ,5
70134,ט,2
70134,רק,3
70134,ק,2
70134,נ,1
70134,קך,2
70134,צ,1
70222,אמת,99
70222,ב,26
70222,ג,40
70222,יש,178
70222,כן,82
70222,ל,230
70222,ם,134
70222,מחל,663
70222,מרצ,23
70222,נ,4
70222,עם,4
70222,ף,3
70222,פה,2
70222,קנ,7
70222,שס,318
70222,זנ,7
70222,נץ,3
70222,קך,1
70222,רק,1
70222,ו,3
70222,ק,1
70135,אמת,51
70135,ב,26
70135,ג,353
70135,ל,203
70135,ם,85
70135,מחל,439
70135,קנ,6
70135,שס,778
70135,יש,147
70135,כן,44
70135,מרצ,10
70135,זנ,2
70135,פה,4
70135,ז,2
70135,נץ,4
70135,עם,4
70135,צף,1
70135,ט,1
70135,ף,1
70135,ק,1
70135,רק,1
70242,אמת,129
70242,ב,65
70242,ג,29
70242,ז,2
70242,זנ,8
70242,יש,265
70242,כן,71
70242,ל,229
70242,ם,180
70242,מחל,953
70242,מרצ,44
70242,נ,5
70242,נץ,18
70242,עם,4
70242,ף,2
70242,קך,4
70242,רק,4
70242,שס,480
70242,ק,2
70242,קנ,8
70242,פה,3
70242,ד,1
70242,ו,1
70242,צף,1
70242,ט,1
70232,אמת,192
70232,ג,53
70232,זנ,2
70232,ט,2
70232,יש,459
70232,כן,80
70232,ל,281
70232,ם,112
70232,מחל,1332
70232,מרצ,50
70232,נץ,30
70232,צ,4
70232,צף,1
70232,ק,1
70232,קך,1
70232,שס,483
70232,ב,93
70232,נ,10
70232,קנ,21
70232,רק,5
70232,עם,2
70232,ף,4
70232,פה,3
70232,קץ,1
70136,אמת,25
70136,ב,22
70136,ג,263
70136,זנ,5
70136,ט,1
70136,יש,209
70136,כן,61
70136,ל,241
70136,ם,67
70136,מחל,360
70136,מרצ,7
70136,נץ,13
70136,ף,1
70136,פה,6
70136,שס,541
70136,נ,1
70136,עם,1
70136,קך,1
70136,קנ,1
70136,ו,1
70136,רק,1
70233,אמת,91
70233,ב,39
70233,ג,22
70233,זנ,3
70233,יש,137
70233,כן,33
70233,ל,122
70233,ם,45
70233,מחל,437
70233,מרצ,22
70233,נץ,7
70233,עם,3
70233,קנ,9
70233,קץ,2
70233,שס,219
70233,ו,1
70233,ף,2
70233,פה,1
70233,ק,2
70233,רק,1
70233,ד,1
70233,ז,1
70233,צ,1
70233,צף,1
70243,אמת,276
70243,ב,108
70243,ג,39
70243,זנ,3
70243,יש,338
70243,כן,30
70243,ל,169
70243,ם,79
70243,מחל,905
70243,מרצ,66
70243,צף,1
70243,קנ,19
70243,רק,6
70243,שס,291
70243,נץ,11
70243,פה,1
70243,צ,3
70243,ט,2
70243,נ,2
70241,אמת,184
70241,ב,88
70241,ג,30
70241,ו,2
70241,יש,249
70241,כן,35
70241,ל,155
70241,ם,68
70241,מחל,874
70241,מרצ,44
70241,נ,5
70241,נץ,12
70241,קנ,11
70241,קץ,1
70241,רק,6
70241,שס,235
70241,עם,2
70241,פה,2
70241,ק,4
70241,זנ,5
70241,ף,1
70241,ז,1
70335,אמת,775
70335,ב,235
70335,ג,69
70335,יש,980
70335,כן,82
70335,ל,291
70335,ם,212
70335,מחל,2659
70335,מרצ,236
70335,נץ,33
70335,קנ,61
70335,רק,24
70335,שס,685
70335,זנ,13
70335,נ,14
70335,פה,2
70335,ק,1
70335,עם,6
