stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
12000011,1200,11,460,371,369,1,129,2,0,0,0,0,26,0,0,0,0,25,9,58,30,0,0,0,0,81,0,1,2,4,1,1
12000043,1200,43,424,355,355,1,181,1,1,0,0,0,9,0,0,0,0,13,3,22,43,0,0,0,0,76,0,0,4,1,1,0
13600001,1360,1,108,59,59,1,2,0,49,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,2,0,0
2690001,269,1,687,551,548,2,350,1,0,0,0,0,15,0,0,0,0,25,3,35,31,0,0,0,0,76,0,0,8,1,0,3
2080001,208,1,714,507,503,2,235,1,4,0,0,0,20,0,0,0,0,33,7,50,88,0,0,0,0,59,0,0,3,0,1,2
6350001,635,1,2105,1339,1328,3,85,0,1205,0,0,0,1,0,1,0,0,1,0,6,15,0,0,1,8,1,0,0,1,1,0,2
11630001,1163,1,300,237,235,1,114,0,0,0,0,0,12,0,0,0,0,15,4,18,23,0,0,0,0,41,0,0,6,0,0,2
11780001,1178,1,818,703,701,2,7,2,0,0,0,0,502,0,0,0,0,17,1,120,1,0,0,0,0,8,0,0,1,34,0,8
6060001,606,1,773,615,614,2,271,1,3,0,0,0,18,0,0,0,0,56,1,68,45,1,0,0,0,137,0,0,11,0,0,2
280001,28,1,8656,6903,6858,14,2197,18,7,0,0,0,513,0,0,0,0,726,141,1638,282,6,0,0,0,1006,1,5,89,84,2,143
1040001,104,1,655,477,475,2,277,1,0,0,0,0,11,0,0,0,0,10,1,7,107,0,0,0,0,49,0,0,10,0,2,0
5170001,517,1,2665,2106,2094,4,33,0,1898,1,0,0,0,1,0,0,0,3,1,10,122,0,0,1,4,0,0,0,0,7,0,13
35990001,3599,1,394,324,322,1,13,0,0,0,0,0,185,0,0,0,0,2,3,60,4,0,0,0,0,6,0,0,5,43,0,1
3080001,308,1,467,343,342,1,184,2,0,0,0,0,9,0,0,0,0,25,9,38,23,0,0,0,0,38,0,0,7,4,0,3
7760001,776,1,297,229,229,1,13,4,0,0,0,0,28,0,0,0,0,13,3,108,0,0,0,0,0,4,0,0,4,5,0,47
430001,43,1,1400,924,921,2,358,6,2,0,0,1,55,0,0,0,0,71,28,155,68,1,0,1,0,131,0,0,28,4,6,6
8220001,822,1,509,393,391,1,83,3,6,0,0,0,35,0,0,0,0,28,4,147,49,0,0,0,1,23,0,0,4,1,1,6
11280001,1128,1,225,189,188,1,104,0,1,0,0,0,1,0,0,0,0,13,0,7,36,0,0,0,0,23,0,0,1,1,0,1
20540001,2054,1,353,274,272,1,17,0,0,0,0,0,24,0,0,0,0,33,5,160,1,0,0,0,0,13,0,0,2,12,0,5
6490001,649,1,1137,696,696,2,9,0,672,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0
12820001,1282,1,305,252,251,1,1,0,0,0,0,0,183,0,0,0,0,2,0,41,0,0,0,0,0,13,0,0,0,8,0,3
6070001,607,1,405,264,264,1,3,45,0,0,0,0,85,0,0,0,0,5,2,40,0,0,0,0,0,3,0,0,1,61,1,18
7310001,731,1,454,377,375,1,168,0,2,0,0,0,19,0,0,0,0,19,3,53,29,0,0,0,0,75,0,1,4,2,0,0
12680001,1268,1,5734,4412,4387,9,1416,11,19,0,0,0,580,0,0,0,0,347,66,884,181,1,0,1,1,714,1,0,58,69,0,38
36140001,3614,1,115,81,81,1,20,0,0,0,0,0,12,0,0,0,0,12,0,22,0,0,0,0,0,10,0,0,5,0,0,0
13430001,1343,1,170,49,48,1,6,0,30,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,5,0,0,0,0,1,0,1
3820001,382,1,1040,737,734,2,416,0,1,0,0,1,14,0,0,0,0,39,2,47,104,0,0,0,0,88,0,1,17,2,2,0
12020001,1202,1,268,213,213,1,108,0,0,0,0,0,5,0,0,0,0,10,2,19,28,1,0,0,2,33,0,0,3,0,1,1
1640001,164,1,266,208,207,1,20,0,0,0,0,0,21,0,0,0,0,19,2,111,0,0,0,0,0,8,0,0,0,4,0,22
20440001,2044,1,220,173,171,1,1,2,0,0,0,0,12,0,0,0,0,3,4,115,0,0,0,0,0,6,0,1,3,10,1,13
5960001,596,1,392,246,245,1,151,0,0,0,0,0,5,0,0,0,0,11,5,16,31,0,0,0,0,18,0,0,6,0,0,2
20300001,2030,1,361,282,282,1,17,5,0,0,0,0,21,0,0,0,0,13,0,184,2,0,0,0,0,11,0,0,1,7,0,21
11740001,1174,1,555,416,416,1,247,1,3,0,0,0,7,0,0,0,0,14,1,11,58,0,0,0,0,73,0,0,1,0,0,0
12050001,1205,1,317,241,239,1,41,0,0,0,0,1,12,0,0,0,0,32,4,97,6,0,0,0,0,23,0,0,9,2,0,12
480001,48,1,909,618,612,2,107,2,0,0,0,0,22,0,0,0,0,88,10,243,9,1,0,0,0,74,0,2,5,22,0,27
3470001,347,1,215,138,137,1,92,0,0,0,0,0,0,0,0,0,0,6,6,3,19,0,0,0,0,6,0,0,5,0,0,0
9940001,994,1,729,475,471,1,55,0,316,0,0,0,0,0,0,0,64,9,0,1,5,0,0,0,15,1,1,0,0,1,0,3
12580001,1258,1,364,278,276,1,145,1,0,0,0,0,7,0,0,0,0,31,0,37,23,1,0,0,0,26,0,0,3,0,0,2
2630001,263,1,265,184,184,1,117,0,2,0,0,0,6,0,0,0,0,6,5,17,10,2,0,0,0,15,0,0,4,0,0,0
2980001,298,1,453,304,304,1,188,0,1,0,0,0,8,0,0,0,0,15,6,10,46,0,0,0,0,24,0,0,6,0,0,0
7420001,742,1,647,528,527,1,211,0,0,0,0,0,18,0,0,0,0,59,5,110,47,0,0,0,0,48,1,0,6,5,1,16
7480001,748,1,390,307,307,1,86,3,0,0,0,0,14,0,0,0,0,37,10,107,4,0,0,0,0,20,0,0,1,5,0,20
42030001,4203,1,217,26,25,1,12,0,2,0,0,0,4,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0
1970001,197,1,735,581,581,2,282,0,2,0,0,0,6,0,0,0,0,9,0,16,206,0,0,0,0,48,1,1,9,0,0,1
10820001,1082,1,901,746,746,2,13,3,0,0,0,0,133,0,0,0,0,22,2,356,1,0,0,0,0,7,0,0,4,156,0,49
6940001,694,1,1522,1092,1090,3,675,0,0,0,0,0,14,0,0,0,0,39,5,38,207,0,0,0,0,75,0,1,29,4,1,2
6780001,678,1,311,206,206,1,114,0,0,0,0,0,5,1,0,0,0,14,6,16,12,0,0,0,0,20,0,0,16,0,0,2
2720001,272,1,444,287,286,1,208,0,1,0,0,0,4,0,0,0,0,12,3,16,14,0,0,0,0,22,0,0,5,1,0,0
36570001,3657,1,259,204,204,1,0,0,0,1,0,0,141,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,50,0,0
5700001,570,1,598,452,449,1,87,0,0,0,0,0,24,0,0,0,0,57,14,166,10,0,0,1,1,50,0,0,10,5,2,22
8750001,875,1,0,234599,232681,295,41202,6268,7299,49,18,48,28840,41,19,0,48,20490,9302,59681,10618,119,45,50,517,21885,101,153,8472,6758,311,10347
5180001,518,1,2364,1765,1745,4,141,0,1330,0,0,0,0,0,0,0,1,1,2,5,228,1,0,1,3,0,0,0,2,1,7,22
4160001,416,1,471,347,347,1,182,0,0,0,0,0,6,0,0,0,0,23,2,27,48,1,0,0,0,41,0,1,10,3,0,3
2900001,290,1,616,443,442,1,277,1,0,0,0,0,8,0,0,0,0,24,2,22,36,0,0,0,0,67,0,0,2,1,1,1
36160007,3616,7,4367,3085,3054,8,166,71,1,0,0,0,415,0,0,0,0,232,227,1363,31,2,1,0,1,157,0,9,29,169,1,179
36160008,3616,8,2267,1689,1680,4,92,18,3,0,0,0,207,0,0,0,0,115,93,826,21,1,0,0,0,111,0,0,22,79,1,91
36160005,3616,5,3385,2238,2214,5,80,42,2,1,0,0,361,0,0,0,0,134,272,918,21,1,1,0,0,83,0,1,20,143,3,131
36160003,3616,3,9241,7293,7241,15,362,82,4,0,0,0,687,0,0,0,0,665,397,3881,47,2,0,0,1,486,0,4,87,174,4,358
36160004,3616,4,1635,1289,1282,3,12,22,0,0,0,1,783,0,0,0,0,24,2,250,3,5,0,1,0,9,0,0,15,129,0,26
36160009,3616,9,5814,4415,4389,9,287,54,1,0,0,0,442,0,0,0,0,360,257,2234,23,2,0,1,0,298,0,1,64,150,0,215
36080001,3608,1,1165,650,640,2,70,4,4,0,0,1,133,0,0,0,0,42,39,237,5,0,0,0,0,27,0,0,16,54,1,7
11270001,1127,1,303,250,249,1,37,0,0,0,0,0,108,0,0,0,0,16,6,36,7,0,0,0,0,32,0,0,2,5,0,0
40080001,4008,1,335,252,252,1,126,0,0,0,0,0,8,0,0,0,0,25,5,22,24,1,0,0,0,36,0,0,5,0,0,0
2860001,286,1,496,350,349,1,222,0,0,0,0,0,7,0,0,0,0,11,3,24,45,0,0,0,0,32,0,0,3,2,0,0
37520001,3752,1,359,291,289,1,0,1,1,0,0,0,137,0,0,0,0,1,3,58,0,0,0,0,0,0,0,0,1,87,0,0
36510001,3651,1,781,682,681,2,1,6,0,0,0,0,391,0,0,0,0,7,3,119,1,0,0,0,0,2,0,0,3,135,0,13
13270002,1327,2,2668,1687,1686,5,5,0,1628,0,0,0,0,0,0,0,0,7,0,3,30,0,0,0,2,2,1,0,0,0,0,8
13270004,1327,4,2952,2379,2374,5,23,1,2263,0,0,0,2,0,1,0,0,2,3,1,50,0,1,1,12,0,0,0,0,0,1,13
13270003,1327,3,2302,1170,1163,4,1,2,1132,0,0,0,0,0,1,0,0,3,0,8,3,0,1,0,5,0,2,0,0,1,0,4
13270001,1327,1,478,331,331,1,2,0,308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19
36530001,3653,1,230,163,158,1,0,71,0,0,0,0,30,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,32,0,16
36370001,3637,1,567,461,461,1,13,4,0,0,0,0,170,0,0,0,1,20,11,170,2,0,0,0,0,17,0,0,5,35,0,13
10630005,1063,5,7084,4650,4567,13,371,59,793,1,0,3,361,0,0,0,0,296,845,1130,57,6,1,3,10,189,3,2,46,102,5,284
10630006,1063,6,2575,1857,1818,4,80,0,1369,0,0,0,12,0,0,0,0,25,112,111,40,0,0,2,4,19,0,2,3,6,2,31
10630004,1063,4,2158,1454,1439,4,119,18,12,0,0,1,293,0,0,0,0,108,191,376,9,0,0,0,0,76,0,5,21,47,2,161
10630002,1063,2,1956,1198,1166,3,79,12,1,0,0,0,48,0,0,0,1,102,398,322,16,1,0,1,0,76,0,5,23,4,0,77
