stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
61000315,6100,315,10532,8230,8197,19,86,5944,1,1,0,0,4,0,0,1,206,4,17,220,26,0,1,94,0,0,0,65,72,1,0,1,2,23,26,0,2,7,1,1392
61000211,6100,211,445,395,394,1,2,266,1,0,0,0,0,0,0,0,16,0,0,8,1,0,0,5,0,0,0,2,4,0,0,0,0,4,1,1,0,2,0,81
61000426,6100,426,8042,7032,7016,14,14,3810,0,0,0,0,0,3,0,2,114,0,5,66,2,0,0,75,0,1,0,5,233,0,0,0,1,15,4,1,0,1,0,2664
61000427,6100,427,3952,3048,3035,7,1,2711,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,13,0,0,0,0,25,0,0,0,0,1,1,1,0,0,0,274
61000421,6100,421,1254,1013,1011,2,2,834,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,10,0,0,0,1,14,0,0,0,0,2,0,0,0,1,0,140
61000314,6100,314,2618,2058,2049,4,35,1132,0,0,0,0,0,0,0,2,238,3,6,136,15,0,0,60,0,1,0,40,16,0,0,0,1,22,9,0,0,6,2,325
61000313,6100,313,3367,2712,2705,5,13,2099,0,0,0,0,1,1,0,0,80,1,0,33,2,0,0,35,0,0,0,12,6,0,0,0,0,13,12,0,0,1,1,395
61000412,6100,412,1277,1096,1091,2,1,865,0,0,0,0,0,0,0,0,31,0,0,14,3,0,0,7,0,0,0,3,6,0,0,0,0,2,0,0,0,1,0,158
5920001,592,1,333,280,278,1,13,0,0,0,0,0,0,0,0,0,193,0,3,27,5,0,0,6,0,0,0,17,0,0,0,0,0,6,1,0,1,2,0,4
3860001,386,1,1032,727,724,2,188,0,0,0,0,0,1,5,0,2,35,0,14,119,69,0,0,2,0,0,0,189,2,0,0,0,0,13,76,0,0,6,1,2
40150001,4015,1,852,567,560,2,119,0,0,0,0,0,0,5,0,3,81,1,9,93,22,0,0,11,0,0,1,129,8,0,0,0,0,8,42,1,0,7,6,14
4480001,448,1,560,469,468,1,112,0,0,0,0,0,0,3,0,0,22,0,5,55,53,0,0,4,0,0,0,143,1,0,0,0,0,7,46,0,1,12,1,3
10660001,1066,1,5692,3687,3601,10,149,10,0,0,8,3,6,8,0,21,375,79,36,1527,37,2,4,37,6,2,1,460,128,6,0,3,5,12,195,4,4,82,15,376
4180001,418,1,757,603,601,2,129,1,0,0,0,0,2,17,0,0,22,0,12,75,69,0,0,2,1,0,0,204,0,0,0,0,0,9,49,0,0,3,1,5
5880001,588,1,752,608,604,2,12,30,2,1,0,0,1,1,0,0,251,0,6,96,1,1,0,35,0,0,0,22,32,1,0,0,0,7,2,1,0,1,1,100
6850001,685,1,612,516,505,1,116,1,0,0,1,0,0,3,0,0,27,0,18,80,36,0,0,8,0,0,0,144,0,0,0,0,0,4,57,1,0,2,1,6
98000003,9800,3,3103,2169,2155,5,395,2,0,1,0,0,7,32,0,1,200,2,33,523,149,0,1,27,0,1,0,420,11,1,0,1,0,41,117,0,6,33,7,144
98000002,9800,2,4995,3880,3862,9,974,9,2,0,3,0,13,65,0,2,181,0,78,542,374,0,2,8,0,3,0,1068,8,0,0,0,3,49,318,3,5,47,8,97
98000001,9800,1,597,483,481,1,120,0,0,0,0,0,1,5,0,1,18,0,7,57,57,0,0,2,0,0,1,153,1,0,0,0,0,5,39,0,0,9,1,4
13260001,1326,1,5004,2781,2754,9,172,3,563,0,1,0,727,1,0,0,8,1,26,10,143,1,0,1,1,979,0,4,0,0,0,0,0,4,7,2,14,1,0,85
9440001,944,1,4367,1731,1685,7,168,14,131,1,1,4,84,0,0,2,13,0,74,119,73,0,1,1,1,790,1,27,7,1,0,5,6,0,32,2,3,9,0,115
3890001,389,1,693,551,550,2,88,3,0,0,0,0,4,10,0,1,22,0,17,62,56,0,0,2,0,0,0,206,2,0,0,0,0,6,62,0,0,6,0,3
